DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.16,0.985,970.123,18.622,6.731,0.375,38.365,17.386,0,0,0,0,23.465,0,0,0,0,4.598,13.791,23.407,972.377,971.268,970.111,24.383,24.383,24.383,7.9,7.865,7.828,0.298,0.298,0.298,55.983,55.983,55.983
2017-10-13 12:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.647,20.831,7.649,1.237,37.52,17.659,0,526.614,532.257,311.151,23.857,47.803,225.057,-43.231,0.277,4.585,13.747,23.323,967.094,966.069,964.992,23.523,23.324,23.233,7.365,7.024,6.869,1.073,1.332,1.427,39.664,36.644,35.134
2017-10-13 13:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.639,21.044,7.904,1.375,101.537,17.909,0,476.811,482.22,312.664,23.403,35.794,204.352,-38.337,0.268,4.591,13.763,23.352,967.085,966.055,964.98,23.747,23.595,23.525,7.61,7.291,7.141,1.195,1.473,1.592,103.535,100.964,99.105
2017-10-13 13:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.387,21.03,8.173,1.764,89.135,18.108,0,408.438,412.889,317.377,22.47,21.654,178.57,-30.453,0.276,4.592,13.767,23.36,966.849,965.83,964.754,23.769,23.667,23.618,7.861,7.573,7.44,1.512,1.857,2.019,91.05,91.24,91.227
2017-10-13 14:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.394,20.973,8.691,2.178,84.498,18.25,0,342.721,347.267,319.778,21.59,9.301,150.784,-23.324,0.287,4.595,13.777,23.379,966.824,965.803,964.726,23.739,23.687,23.659,8.363,8.124,8.015,1.846,2.231,2.424,86.497,86.718,86.75
2017-10-13 14:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.576,20.104,8.957,3.66,99.433,18.309,0,256.533,259.97,321.407,19.628,-8.708,122.891,-9.214,0.373,4.584,13.747,23.332,967.021,965.993,964.921,22.928,22.955,22.967,8.639,8.465,8.384,2.954,3.588,3.924,101.343,100.908,100.545
2017-10-13 15:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.556,19.3,9.112,3.67,98.288,18.283,0,152.934,154.133,321.672,17.889,-19.959,68.017,2.758,0.29,4.574,13.72,23.287,967.105,966.074,965.007,22.269,22.365,22.405,8.789,8.654,8.595,2.684,3.259,3.564,100.244,99.312,98.769
2017-10-13 15:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.735,18.322,9.146,3.186,95.735,18.173,0,79.329,79.461,324.112,16.182,-13.59,22.443,13.922,0.138,4.565,13.692,23.242,967.178,966.151,965.072,21.641,21.782,21.838,8.737,8.655,8.622,1.991,2.375,2.593,97.703,96.281,95.368
2017-10-13 16:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.824,16.628,8.785,1.935,103.978,17.939,0,20.488,20.497,321.668,12.84,-3.428,0.587,35.648,0.033,4.547,13.642,23.163,967.253,966.228,965.16,20.519,20.829,20.979,8.699,8.667,8.641,1.484,1.784,1.983,105.954,104.218,102.613
2017-10-13 16:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,968.012,15.376,8.387,1.897,113.529,17.577,0,0,0,317.225,11.012,-3.513,-0.903,45.901,0.031,4.528,13.587,23.077,967.442,966.41,965.339,19.374,19.777,20.144,8.529,8.529,8.519,1.471,1.778,2.152,115.469,117.82,118.141
2017-10-13 17:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,968.144,15.127,8.117,1.01,61.681,17.192,0,0,0,311.431,10.131,-1.417,-0.553,49.381,0.015,4.521,13.564,23.03,967.625,966.59,965.519,19.009,19.247,19.413,8.319,8.316,8.303,0.81,0.912,1.07,63.558,73.729,86.127
2017-10-13 17:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,968.376,14.768,7.949,0.656,85.396,16.797,0,0,0,309.388,9.668,-0.823,-0.342,49.854,0.009,4.513,13.542,22.998,967.814,966.778,965.705,18.534,18.901,19.202,8.147,8.136,8.118,0.528,0.674,0.89,87.529,96.265,104.526
2017-10-13 18:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,968.507,14.375,7.889,0.728,114.834,16.42,0,0,0,308.116,9.358,-0.927,-0.426,49.387,0.01,4.507,13.525,22.972,967.926,966.903,965.824,18.131,18.567,18.939,8.109,8.137,8.166,0.584,0.721,0.853,116.776,122.852,129.611
2017-10-13 18:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,968.466,14.195,7.95,0.439,62.351,16.047,0,0,0,307.1,9.014,-0.515,-0.292,49.183,0.006,4.504,13.516,22.956,967.933,966.903,965.826,17.886,18.312,18.682,8.206,8.246,8.303,0.352,0.369,0.397,64.4,84.681,111.712
2017-10-13 19:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,968.494,13.946,7.846,0.558,42.726,15.673,0,0,0,305.939,8.726,-0.689,-0.405,48.576,0.008,4.5,13.503,22.935,967.981,966.951,965.883,17.677,18.087,18.465,8.123,8.149,8.196,0.447,0.425,0.341,44.675,50.168,62.593
2017-10-13 19:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,968.596,13.491,7.855,0.49,186.5,15.301,0,0,0,303.258,8.279,-0.59,-0.405,49.093,0.007,4.494,13.483,22.901,968.065,967.03,965.962,17.183,17.611,17.993,8.171,8.19,8.218,0.392,0.394,0.403,188.608,190.141,190.905
2017-10-13 20:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,968.633,13.016,7.935,0.539,214.176,14.947,0,0,0,301.256,7.918,-0.649,-0.523,49.136,0.008,4.487,13.463,22.867,968.132,967.105,966.033,16.688,17.116,17.51,8.302,8.315,8.322,0.431,0.539,0.679,216.069,218.27,218.877
2017-10-13 20:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,968.746,12.895,7.937,0.162,16.195,14.595,0,0,0,300.296,7.566,-0.18,-0.156,49.132,0.002,4.484,13.455,22.853,968.266,967.242,966.169,16.499,16.931,17.356,8.312,8.324,8.343,0.13,0.074,0.31,18.358,289.039,231.722
2017-10-13 21:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,968.78,12.529,7.912,0.466,165.588,14.244,0,0,0,298.367,7.263,-0.564,-0.521,48.784,0.007,4.479,13.44,22.829,968.401,967.376,966.299,16.184,16.619,17.032,8.337,8.353,8.374,0.374,0.426,0.692,167.713,186.223,203.496
2017-10-13 21:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,969.075,12.303,7.761,0.641,115.405,13.893,0,0,0,296.566,6.956,-0.839,-0.77,48.47,0.009,4.477,13.432,22.81,968.374,967.503,966.421,16.021,16.323,16.642,8.211,8.226,8.238,0.514,0.565,0.609,117.192,126.881,155.04
2017-10-13 22:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,969.05,12.007,7.619,0.879,4.02,13.561,0,0,0,296.371,6.8,-1.219,-1.091,47.232,0.013,4.472,13.416,22.784,968.62,967.586,966.516,15.762,16.123,16.452,8.073,8.068,8.032,0.704,0.527,0.268,6.022,2.594,329.701
2017-10-13 22:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,969.256,11.984,7.639,0.803,22.791,13.246,0,0,0,296.258,6.597,-1.121,-1.048,46.442,0.012,4.472,13.417,22.788,968.73,967.696,966.623,15.743,16.096,16.476,8.121,8.155,8.168,0.641,0.801,0.976,24.669,33.241,43.433
2017-10-13 23:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,969.352,11.585,7.736,0.372,291.816,12.917,0,0,0,294.679,6.163,-0.45,-0.468,47.171,0.005,4.465,13.395,22.749,968.812,967.786,966.707,15.194,15.524,15.851,8.214,8.232,8.232,0.297,0.387,0.425,293.798,307.823,311.243
2017-10-13 23:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,969.52,11.286,7.728,0.568,42.793,12.6,0,0,0,293.509,5.927,-0.726,-0.793,46.585,0.008,4.461,13.386,22.736,968.965,967.938,966.865,14.929,15.361,15.701,8.251,8.27,8.289,0.454,0.573,0.707,44.698,40.852,36.802
2017-10-14 00:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,969.713,10.971,7.621,0.632,70.783,12.292,0,0,0,292.547,5.68,-0.82,-0.897,46.156,0.009,4.455,13.368,22.704,969.189,968.155,967.078,14.598,14.96,15.301,8.146,8.151,8.139,0.505,0.615,0.736,72.853,75.862,82.52
2017-10-14 00:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,969.737,10.722,7.462,0.422,5.384,11.984,0,0,0,291.295,5.338,-0.516,-0.55,46.382,0.006,4.449,13.349,22.67,969.245,968.216,967.133,14.29,14.66,14.971,7.95,7.924,7.876,0.338,0.353,0.342,7.329,13.506,28.093
2017-10-14 01:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,969.744,10.252,7.271,0.691,99.251,11.685,0,0,0,290.348,5.138,-0.889,-0.925,45.677,0.01,4.441,13.324,22.63,969.275,968.247,967.174,13.839,14.217,14.559,7.757,7.768,7.773,0.551,0.612,0.661,101.275,95.119,91.162
2017-10-14 01:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,969.838,9.991,7.201,0.695,39.59,11.399,0,0,0,289.379,4.889,-0.894,-0.941,45.416,0.01,4.436,13.311,22.607,969.361,968.338,967.26,13.568,13.94,14.26,7.692,7.718,7.747,0.556,0.564,0.563,41.551,50.68,68.268
2017-10-14 02:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,969.962,10.025,7.236,0.558,71.521,11.114,0,0,0,289.451,4.699,-0.709,-0.765,44.74,0.008,4.437,13.314,22.614,969.515,968.478,967.412,13.593,14.021,14.416,7.741,7.772,7.806,0.444,0.444,0.47,73.621,77.311,88.043
2017-10-14 02:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,970.155,10.067,7.233,0.569,44.886,10.837,0,0,0,289.599,4.559,-0.751,-0.816,43.772,0.008,4.439,13.319,22.625,969.689,968.653,967.578,13.664,14.126,14.543,7.762,7.793,7.826,0.455,0.454,0.42,46.942,39.461,35.611
2017-10-14 03:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,970.325,9.561,7.218,0.793,164.636,10.573,0,0,0,288.927,4.398,-1.068,-1.223,43.051,0.011,4.431,13.295,22.584,969.865,968.833,967.764,13.134,13.583,14.037,7.772,7.797,7.82,0.633,0.542,0.419,166.579,166.962,168.238
2017-10-14 03:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,970.451,9.347,7.213,0.657,90.273,10.309,0,0,0,288.226,4.143,-0.85,-1,42.976,0.009,4.427,13.282,22.561,969.995,968.963,967.891,12.872,13.286,13.688,7.764,7.794,7.819,0.525,0.624,0.663,92.085,95.881,100.871
2017-10-14 04:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,970.579,9.317,7.193,0.576,100.285,10.055,0,0,0,288.804,4.019,-0.735,-0.863,42.056,0.008,4.426,13.282,22.56,970.08,969.052,967.973,12.827,13.268,13.692,7.74,7.765,7.783,0.459,0.55,0.619,102.25,105.975,111.85
2017-10-14 04:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,970.709,9.245,7.109,0.733,59.109,9.813,0,0,0,288.452,3.895,-0.999,-1.154,41.226,0.011,4.426,13.28,22.559,970.156,969.123,968.047,12.81,13.287,13.701,7.676,7.699,7.709,0.585,0.597,0.571,61.009,69.84,80.517
